key,variables,en,tr,ar,pl,br
property,cell,"<font color=""#{cell.header_color}"">{$cell.title}</font>",,,,
log_passed_go,player,{player} <J>passed GO and collected <VP>$200,{player} <J>BAŞLANGIÇ üzerinden geçti ve <VP>$200 <J>kazandı.," <VP>$200 <J>عبر البداية ,احصل على {player}",{player} <J>minął pole GO i odebrał <VP>$200,{player} <J>passou no GO e arrecadou <VP>$200
log_sell_house,player|property|count,{player} <J>sold a house on {!property} which has <BL>{count} <J>houses now.,"{player}, {!property} <J>üstünde bulunan bir evi sattı, artık mülkün üstünde <BL>{count} <J>ev var.", <J>منزل <BL>{count} <J> الأن يمتلك {!property} <J>باع منزل في  {player},{player} <J>mortgaged {!property}.,{player} <J>vendeu uma casa em{!property} quem <BL>{count} <J>casas agora
log_buy_house,player|property|count,{player} <J>bought a house for {!property} which has <BL>{count} <J>houses now.,"{player}, {!property} <J>için bir ev satın aldı, artık mülkün üstünde <BL>{count} <J>ev bulunuyor.",<J>منزل <BL>{count} <J>الأن يمتلك {!property} <J>اشترى منزل في {player},as above. Did he buy or did she buy? on kupił vs ona kupiła,{player} <J>comprou uma casa para {!property} que tem <BL>{count} <J>casas agora.
log_buy_hotel,player|property,{player} <J>bought a hotel for {!property}.,"{player}, {!property} <J>için bir otel satın aldı.",{!property} <J>اشترى فندق في {player},,{player} <J>comprou um hotel para {!property}.
log_mortgage,player|property,{player} <J>mortgaged {!property}.,"{player}, {!property} <J>mülkünü ipotekledi.",{!property} <J>رهن {player},,{player} <J>hipotecada {!property}.
log_unmortgage,player|property,{player} <J>unmortgaged {!property}.,"{player}, {!property} <J>mülkünün ipoteğini kaldırdı.",{!property} <J>فك الرهن {player},,{player} <J>não hipotecado {!property}.
log_trade_property,player1|player2|property,{player1} <J>gave {!property} to {player2} in a trade.,"{player1}, {!property} <J>mülkünü {player2} oyuncusuna verdi.",في مبادلة {player2} لـ {!property} <J>اعطى {player1},,{player1} <J>deu {!property} para {player2} em uma trade.
log_trade_money,player1|player2|amount,{player1} <J>gave <VP>${amount} <J>to {player2} in a trade.,"{player1}, {player2} <J>oyuncusuna <VP>${amount} <J>verdi.",في مبادلة {player2} <J>لـ <VP>${amount} <J>اعطى {player1},,{player1} <J>deu <VP>${amount} <J>para {player2} em uma trade.
log_trade_jailcard,player1|player2,"{player1} <J>gave a ""Get Out of Jail Free"" card to {player2} in a trade.","{player1}, {player2} <J>oyuncusuna ""Kefaret Ödemeden Hapisten Çık"" kartı verdi.","في مبادلة  {player2}  <J>اعطى بطاقة ""الخروج من السجن مجانا"" الى {player1}",,"{player1} <J>deu um cartão ""Saia da cadeia"" para {player2} em uma trade."
roll_once,player|dice1|dice2|dicesum,{player} <J>rolled a <CH>{dice1} <J>and <CH>{dice2} <J>moved <CH>{dicesum} <J>spaces!,{player} <J>attığı zarlar <CH>{dice1} <J>ile <CH>{dice2} <J>geldi ve <CH>{dicesum} <J>adım ilerledi!,<J>مسافات <VP>{dicesum} <J>تحرك <VP>{dice1} <J>و <VP>{dice2}  <J>رمى {player},,{player} <J>girou um <CH>{dice1} <J>e <CH>{dice2} <J>moveu <CH>{dicesum} <J>espaços!
roll_double,player|dice1|dice2|dicesum,{player} <J>rolled double <VP>{dice1} <J>and <VP>{dice2} <J>moved <VP>{dicesum} <J>spaces!,{player} <J>attığı zarlar çift <VP>{dice1} <J>geldi ve <VP>{dicesum} <J>adım ilerledi!,<J>مسافات <VP>{dicesum} <J>تحرك <VP>{dice1} <J>و <VP>{dice2}  <J>رمية مزدوجة {player},,{player} <J>girou um <VP>{dice1} <J>e <VP>{dice2} <J>moveu <VP>{dicesum} <J>espaços!
roll_lobby,player|dice1|dice2|dicesum,{player} <J>rolled a <CH>{dice1} <J>and <CH>{dice2} <J>which sums up to <CH>{dicesum}.,{player} <J>attığı zarlar toplamı <CH>{dicesum} <J>olan <CH>{dice1} <J>ile <CH>{dice2} <J>geldi.,<CH>{dicesum} <J>مجموعهم<CH>{dice1} <J> و <CH>{dice2} <J>رمى {player},,{player} <J>girou um <CH>{dice1} <J>e <CH>{dice2} <J>que se resume a <CH>{dicesum}.
roll_jail,player,{player} <R>rolled a double 3 times and went to jail.,{player} <R>üç defa çift zar attığı için hapise düştü.,<R>لعب نرد مزدوج ثلاث مرات وذهب الى السجن {player},,{player} <R>girou um double 3 vezes e foi para a cadeia.
roll_jail_fail,player|dice1|dice2,{player} <J>rolled a <CH>{dice1} <J>and <CH>{dice2} <J>and failed to escape from jail!,{player} <J>attığı zarlar <CH>{dice1} <J>ile <CH>{dice2} <J>geldi ve hapisten kaçamadı!,<J>فشل في الخروج من السجن <CH>{dice1} <J>و <CH>{dice2} <J>رمى {player},,{player} <J>girou um <CH>{dice1} <J>e <CH>{dice2} <J>e falho de escapar da cadeia!
move,player|property,{player} <J>moved to {!property},{player} {!property} <J>arazisinde.,{!property} <J>تحرك الى {player},,{player} <J>moveu para {!property}
purchase,player|property|price,{player} <J>purchased {!property} for <VP>${price},{player} {!property} <J>arazisini <VP>${price} <J>ödeyerek satın aldı.,{!property} <J>مقابل <VP>${price} <J>دفع {player},,{player} <J>comprou {!property} por <VP>${price}
auction,player|property|price,{player} <J>purchased {!property} for <VP>${price} <J>in the auction.,{player} <J>ihaleyle {!property} <VP>${price} <J>ödeyerek arazisini satın aldı.,<J>في المزاد {!property} <J>مقابل <VP>${price} <J>دفع {player},,{player} <J>comprou {!property} por <VP>${price} <J>no leilão.
pay_rent,player|money|playerowner,{player} <J>paid <VP>${money} <J>in rent to {playerowner}.,{player} <J>kira bedeli olarak <VP>${money} <J>kadar {playerowner} <J>oyuncusuna ödedi.,{playerowner} <J>قيمة أجار الى <VP>${money}  <J>دفع {player},,{player} <J>pagou <VP>${money} <J>no aluguel para {playerowner}.
jail_in,player,{player} <R>was sent to jail!,{player} <R>hapise düştü!,<R>تم إرساله إلى السجن {player},,{player} <R>foi enviado a cadeia!
jail_out_money,player,{player} <J>paid the <VP>$50 <J>fine to get out of jail.,{player} <VP>$50 <J>kefaret ödeyerek hapisten çıktı.,<J>غرامة للخروج من السجن<VP>$50 <J>دفع {player},,{player} <J>pagou <VP>$50 <J>para sair da cadeia
jail_out_dice,player,{player} <J>rolled doubles to get out of jail.,{player} <J>çift zarla hapisten çıktı.,<J>لعب نرد مزدوج للخروج من السجن {player},,{player} <J>rolou duplas para sair da cadeial.
jail_out_card,player,"{player} <J>used a ""Get Out of Jail Free"" card.","{player} <J>""Kefaret Ödemeden Hapisten Çık"" kartını kullandı.","<J>""استخدم بطاقة ""الخروج من السجن مجانًا {player}",,"{player} <J>usou uma carta ""Saia da cadeia grátis""."
won,player,{player} <ROSE>won the game!,{player} <ROSE>oyunu kazandı!,<ROSE>!ربح اللعبة {player},,{player} <ROSE>ganhou o jogo!
player_left,player,{player} <R>left the game!,{player} <R>oyunu terk etti!,<R>!خرج من اللعبة {player},,{player} <R>saiu do jogo!
start_roll,,<ROSE>Roll the dice to determine start order.,<ROSE>Zar at ve başlangıç sırasını belirle.,<ROSE>العب النرد لتحديد ترتيب البدء,,<ROSE>Jogue os dados para determinar a ordem inicial.
new_game,,<ROSE>The game has started.,<ROSE>Oyun başladı.,<ROSE>بدأت اللعبة,,<ROSE>O jogo começou.
player_turn,player,{player} <J>is playing.,<J>Sıra {player} <J>oyuncusunda.,<J>يلعب {player} ,,{player} <J>está jogando.
chance_space,player,{player} <J>landed on a chance space!,{player} <J>şans bölgesinde!,<J>هبط على الفرصة {player},,{player} <J>aterrisou em um espaço de chance!
community_chest,player,{player} <J>landed on community chest!,{player} <J>topluluk sandığında!,<J>هبط على صندوق المجتمع {player},,{player} <J>aterrisou em um baú da comunidadet!
income_tax,player,{player} <J>has to pay <VP>$200 <J>in income tax from collecting too much cheese!,{player} <J>çok fazla peynir topladığı için <VP>$200 <J>gelir vergisi ödemek zorunda kaldı.,<J>!ضريبة لجمعه الكثيرمن الجبن <VP>$200 <J>عليه دفع {player},,{player} <J>tem que pagar <VP>$200 <J>em imposto de renda por coletar muito queijo!
luxury_tax,player,{player} <J>has to pay <VP>$100 <J>in luxury tax for being too noob!,{player} <J>fazla noob olduğu için <VP>$100 <J>özel tüketim vergisi ödemek zorunda kaldı.,<J>ضريبة لانه نوب <VP>$100 <J>عليه دفع {player},,{player} <J>precisa paga <VP>$100 <J>em imposto de luxo por ser muito noob!
bankrupt,player|playerowner,{player} <R>went bankrupt and has lost the game! All of their assets will be turned over to {playerowner}.,{player} <R>iflas etti ve oyunu kaybetti! Tüm malvarlığı {playerowner} <R> oyuncusuna devredilecek.,<V>{playerowner} <R>أفلس وخسر اللعبة! سيتم تسليم جميع ممتلكاته إلى {player},,{player} <R>faliu e perdeu o jogo! Todos os seus ativos serão entregues a o {playerowner}.
bankrupt_bank,player,{player} <R>went bankrupt and has lost the game! All of their assets will be auctioned.,{player} <R>iflas etti ve oyunu kaybetti! Tüm malvarlığı ihaleyle satışa çıktı.,,,{player} <R>faliu e perdeu o jogo! Todos seus ativos serão leiloados.
mortgage_property,player|property|playerowner,"{player} <J>landed on {!property} <J>owned by {playerowner}. Property is mortgaged, no rent was collected.","{player}<J>, sahibi {playerowner} <J>olan {!property} mülkünün üzerinde. Mülk ipotek edildiği için, kira ödenmedi.",<J>.الأملاك مرهونة. لم يتم تحصيل اي اجار {playerowner} <J>مملوكه من قبل {!property} <J>هبط على {player},,"{player} <J>aterrissou em {!property} <J>de {playerowner}. O ímovel está hipotecado, nenhum aluguel foi cobrado."
warn_need_fullset,,"<J>Before you can buy a house, you must own all the properties of a color-group.",<J>Ev satın almadan önce bir renk grubundaki tüm mülkiyetlere sahip olmalısınız.,<J> .قبل أن تتمكن من شراء منزل ، يجب أن تمتلك جميع مجموعة اللون,,"<J>Antes de comprar uma casa, você deve possuir todas as propriedades de um grupo de cores."
warn_need_house,,<J>You don't have any house to sell.,<J>Satabileceğin bir evin bulunmamakta.,<J>ليس لديك أي منزل للبيع,,<J>Você não tem nenhuma casa para vender.
warn_need_house2,,<J>You don't have any property you can mortgage.,<J>İpotekleyebileceğin bir mülkün bulunmamakta.,<J>ليس لديك أي ممتلكات لترهنها,,<J>Você não tem nenhuma propriedae que possa hipotecar.
warn_need_house3,,<J>You don't have any property you can unmortgage.,<J>İpotekeğini kaldırabileceğin bir mülkün bulunmamakta.,<J>ليس لديك أي ممتلكات لفك الرهن العقاري عنها,,<J>Você não tem nenhuma propriedade que possa desembolsar
warn_trade_house,,<J>At least one property in your offer has a house/hotel. You need to either remove the property or offer all properties in its color-group.,<J>Teklifinde en az bir mülkte ev/otel bulunmakta. Mülkü kaldır veya renk grubundaki tüm mülkleri teklife dahil et.,,,<J>Pelo menos uma propriedade em sua oferta tem uma casa/hotel. Você precisa remover a propriedade ou oferecer todas as propriedades em seu grupo de cores.
log_card,player|type,{player} <J>drew a <ROSE>{$type} <J>card:,{player} <J>bir <ROSE>{$type} <J>kartı çekti:,<ROSE>{$type} <J>:سحب <J>بطاقة {player},,{player} <J>desenhou um <ROSE>{$type} <J>carta:
log_card_detail,cardtext,<CH>{$cardtext},,,,
community,,community,topluluk,المجتمع,,comunidade
chance,,chance,şans,فرصة,,chance
trade_confirm,,"<VP><p align=""center""><a href=""event:tradecb_confirm"">Confirm","<VP><p align=""center""><a href=""event:tradecb_confirm"">Onayla","<VP><p align=""center""><a href=""event:tradecb_confirm"">تأكيد",,"<VP><p align=""center""><a href=""event:tradecb_confirm"">Confirmar"
trade_cancel,,"<BL><p align=""center""><a href=""event:tradecb_cancel"">Cancel","<BL><p align=""center""><a href=""event:tradecb_cancel"">İptal","<BL><p align=""center""><a href=""event:tradecb_cancel"">الغاء",,"<BL><p align=""center""><a href=""event:tradecb_cancel"">Cancelar"
trade_close,,"<R><p align=""center""><a href=""event:tradecb_close"">Close","<R><p align=""center""><a href=""event:tradecb_close"">Kapat","<R><p align=""center""><a href=""event:tradecb_close"">اغلاق",,"<R><p align=""center""><a href=""event:tradecb_close"">Fechar"
